provider_name,alias,provider_id,provider_type,country,source_file,provided_name,provided_id,share_provided,year,source
Eugene Technology,,P320,,Unknown,provision.csv,Chemical vapor deposition tools,N47,1.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Evatec,,P321,,Unknown,provision.csv,PVD tools (adv. pkg.),N111,1.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Evatec,,P321,,Unknown,provision.csv,Other deposition tools (non-IC),N138,6.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
F&K Delvotec,,P360,,Unknown,provision.csv,Manual wire bonders,N133,92.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
F&K Delvotec,,P360,,Unknown,provision.csv,Wire bonding tools,N74,1.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
FRA,,P132,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,0.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
FRA,,P132,,Unknown,provision.csv,Other deposition tools (non-IC),N138,1.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
FRA,,P132,,Unknown,provision.csv,Deposition tools,N36,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
FRA,,P132,,Unknown,provision.csv,Process control tools,N60,0.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
FRA,,P132,,Unknown,provision.csv,Inspection tools (adv. pkg.),N63,1.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
FRA,,P132,,Unknown,provision.csv,"Film, stack, and shape metrology tools",N65,0.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Fasford Tech,,P158,,Unknown,provision.csv,Die attaching tools for IC,N131,5.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Fasford Tech,,P158,,Unknown,provision.csv,Bonding tools,N72,2.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Fasford Tech,,P158,,Unknown,provision.csv,Die attaching tools,N73,4.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
FormFactor,,P323,,Unknown,provision.csv,Handlers and probers,N83,5.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
GBR,,P110,,Unknown,provision.csv,Dry etch tools,N103,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,CVD tools (adv. pkg.),N110,1.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Deposition tools (adv. pkg.),N128,0.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Other deposition tools (non-IC),N138,0.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Deposition tools,N36,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,High-temperature CVD tools,N40,1.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Atomic layer deposition tools,N41,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Chemical vapor deposition tools,N47,0.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Dry etching and cleaning tools,N48,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Misc. dry etch tools,N54,3.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GBR,,P110,,Unknown,provision.csv,Etch and clean tools,N55,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Genesem,,P383,,Unknown,provision.csv,Packaging tools,N76,1.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
GigaLane,,P126,,Unknown,provision.csv,Imprint lithography,N107,7.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
GigaLane,,P126,,Unknown,provision.csv,Misc. dry etch tools,N54,5.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Graco,,P324,,Unknown,provision.csv,Other interconnect tools,N75,2.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Grand Process,,P122,,Unknown,provision.csv,Single wafer spin & spray systems (adv. pkg.),N125,2.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Grand Process,,P122,,Unknown,provision.csv,Dry stripping tools,N53,1.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Grohmann,,P172,,Unknown,provision.csv,Integrated assembly tools,N77,2.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Gudeng,,P75,,Unknown,provision.csv,Photomask handlers,N12,8.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
HANMI,,P170,,Unknown,provision.csv,Die attaching tools for IC,N131,12.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
HANMI,,P170,,Unknown,provision.csv,Bonding tools,N72,6.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
HANMI,,P170,,Unknown,provision.csv,Die attaching tools,N73,10.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
HANMI,,P170,,Unknown,provision.csv,Packaging tools,N76,6.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
HUN,,P374,,Unknown,provision.csv,Process control tools,N60,0.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
HUN,,P374,,Unknown,provision.csv,"Film, stack, and shape metrology tools",N65,2.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hangzhou Changchuan Technology,,P325,,Unknown,provision.csv,Test tools,N120,4.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hangzhou Changchuan Technology,,P325,,Unknown,provision.csv,SoC test tools,N80,4.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hangzhou Changchuan Technology,,P325,,Unknown,provision.csv,Burn-in test tools,N81,9.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hangzhou Changchuan Technology,,P325,,Unknown,provision.csv,Linear and discrete testing tools,N82,24.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hangzhou Changchuan Technology,,P325,,Unknown,provision.csv,Handlers and probers,N83,7.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hanwha Precision Machinery,,P326,,Unknown,provision.csv,Die attaching tools for IC,N131,1.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Heidelberg Instruments,,P95,,Unknown,provision.csv,Mask exposure systems - laser beam,N30,1.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hesse,,P165,,Unknown,provision.csv,Automatic wedge bonders,N136,15.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Hesse,,P165,,Unknown,provision.csv,Bonding tools,N72,1.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Hesse,,P165,,Unknown,provision.csv,Wire bonding tools,N74,3.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Hitachi,,P97,,Unknown,provision.csv,Dry etch tools,N103,2.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Defect review stations,N116,3.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Dry etching and cleaning tools,N48,2.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Conductor etching tools,N50,4.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Etch and clean tools,N55,1.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Process control tools,N60,5.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Critical dimensions metrology tools,N66,69.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hitachi,,P97,,Unknown,provision.csv,Defect inspection tools,N67,2.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hon Technologies,,P327,,Unknown,provision.csv,Handlers and probers,N83,2.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hoson,,P160,,Unknown,provision.csv,Die attaching tools for non-IC,N132,17.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Hoson,,P160,,Unknown,provision.csv,Bonding tools,N72,2.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Hoson,,P160,,Unknown,provision.csv,Die attaching tools,N73,3.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Hoson,,P160,,Unknown,provision.csv,Linear and discrete testing tools,N82,7.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Hwatsing,,P129,,Unknown,provision.csv,CMP tools (adv. pkg.),N124,6.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Hwatsing,,P129,,Unknown,provision.csv,CMP tools,N86,9.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
IMS Nanofabrication,,P328,,Unknown,provision.csv,Lithography tools,N19,1.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
IMS Nanofabrication,,P328,,Unknown,provision.csv,Mask exposure systems - e-beam,N29,46.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ISR,,P133,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,2.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ISR,,P133,,Unknown,provision.csv,Process control tools,N60,5.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ISR,,P133,,Unknown,provision.csv,Inspection tools (adv. pkg.),N63,18.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ISR,,P133,,Unknown,provision.csv,"Film, stack, and shape metrology tools",N65,20.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ISR,,P133,,Unknown,provision.csv,Defect inspection tools,N67,3.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ITA,,P33,,Unknown,provision.csv,Test tools,N120,1.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
ITA,,P33,,Unknown,provision.csv,SoC test tools,N80,1.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
ITA,,P33,,Unknown,provision.csv,Burn-in test tools,N81,5.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
ITA,,P33,,Unknown,provision.csv,Handlers and probers,N83,1.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Incal Technology,,P329,,Unknown,provision.csv,Burn-in test tools,N81,2.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Innogrity,,P361,,Unknown,provision.csv,Handlers and probers,N83,1.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Iwashita Engineering,,P330,,Unknown,provision.csv,Other interconnect tools,N75,10.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JEOL,,P92,,Unknown,provision.csv,Direct write systems,N108,67.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JEOL,,P92,,Unknown,provision.csv,Mask exposure systems - e-beam,N29,15.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Wafer bonding and aligning tools,N10,39.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Dry etch tools,N103,28.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Plasma modification tools,N104,11.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,KrF (DUV) lithography tools,N105,20.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,i-line lithography tools,N106,53.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Direct write systems,N108,67.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,15.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Wafer handlers,N11,85.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,CVD tools (adv. pkg.),N110,8.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,PVD tools (adv. pkg.),N111,7.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,ECP tools (adv. pkg.),N113,3.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Defect review stations,N116,3.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Photomask handlers,N12,86.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Test tools,N120,56.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
JPN,,P7,,Unknown,provision.csv,Resist processing tools (adv. pkg.),N122,80.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Mask aligners,N123,5.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,CMP tools (adv. pkg.),N124,12.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Single wafer spin & spray systems (adv. pkg.),N125,76.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Lithography tools (adv. pkg.),N127,66.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Deposition tools (adv. pkg.),N128,5.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Etch and clean tools (adv. pkg.),N129,25.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Die attaching tools for IC,N131,16.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Die attaching tools for non-IC,N132,10.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Auto ball bonders for IC,N134,4.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Auto ball bonders for non-IC,N135,5.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Automatic wedge bonders,N136,0.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Wafer level stud bonders,N137,13.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Other deposition tools (non-IC),N138,12.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Ion implanters,N17,9.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Lithography tools,N19,17.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,ArF dry (DUV) lithography tools,N21,5.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,ArF immersion (DUV) lithography tools,N22,1.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Mask exposure systems - e-beam,N29,53.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Resist processing tools,N32,93.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Deposition tools,N36,15.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Low-pressure CVD tools,N39,30.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Atomic layer deposition tools,N41,25.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Physical vapor deposition tools,N42,3.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Rapid thermal processing tools,N43,5.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Tube-based diffusion and deposition tools,N44,79.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Chemical vapor deposition tools,N47,5.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Dry etching and cleaning tools,N48,28.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Wet etching and cleaning tools,N49,60.0,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Conductor etching tools,N50,6.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Insulator etching tools,N51,61.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Dry stripping tools,N53,35.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Misc. dry etch tools,N54,21.9,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Etch and clean tools,N55,37.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Wafer and photomask handlers,N59,85.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Process control tools,N60,15.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Photomask inspection and repair tools,N62,46.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Inspection tools (adv. pkg.),N63,0.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,"Film, stack, and shape metrology tools",N65,7.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Critical dimensions metrology tools,N66,69.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Defect inspection tools,N67,4.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Dicing tools,N71,94.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Bonding tools,N72,13.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Die attaching tools,N73,15.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Wire bonding tools,N74,4.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Other interconnect tools,N75,31.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Packaging tools,N76,57.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
JPN,,P7,,Unknown,provision.csv,Memory test tools,N79,62.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
JPN,,P7,,Unknown,provision.csv,SoC test tools,N80,58.4,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
JPN,,P7,,Unknown,provision.csv,Burn-in test tools,N81,16.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
JPN,,P7,,Unknown,provision.csv,Linear and discrete testing tools,N82,9.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
JPN,,P7,,Unknown,provision.csv,Handlers and probers,N83,44.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
JPN,,P7,,Unknown,provision.csv,CMP tools,N86,28.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JPN,,P7,,Unknown,provision.csv,Crystal machining tools,N9,99.6,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
JT Corp.,,P331,,Unknown,provision.csv,Handlers and probers,N83,1.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Jingsheng Electromechanical,,P406,,Unknown,provision.csv,Other deposition tools (non-IC),N138,3.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Jusung Engineering,,P332,,Unknown,provision.csv,Other deposition tools (non-IC),N138,1.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Jusung Engineering,,P332,,Unknown,provision.csv,Atomic layer deposition tools,N41,3.3,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
KBTEM,,P397,,Unknown,provision.csv,Manual wire bonders,N133,6.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
KCTech,,P130,,Unknown,provision.csv,CMP tools,N86,1.5,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
KES Systems,,P363,,Unknown,provision.csv,Burn-in test tools,N81,1.7,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
KLA,,P118,,Unknown,provision.csv,Dry etching tools (adv. pkg.),N101,9.8,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
KLA,,P118,,Unknown,provision.csv,Dry etch tools,N103,1.2,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
KLA,,P118,,Unknown,provision.csv,Fabrication tools (for advanced packaging),N109,9.1,2024.0,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
